ad_id,video_id,labeller_id,ad_or_no,ad_brand,product,food_or_no,food_items,techniques
1,pFsj5PUy4Xg,10,TRUE,,KIA,FALSE,[],"[2255, 2256, 2257, 2258, 2259]"
2,GybvOrEJk_4,10,TRUE,,Walmart,FALSE,[],"[2250, 2251, 2252, 2253, 2254]"
3,_XU34YuhGuA,10,TRUE,,Walmart,FALSE,[],"[2072, 2073, 2074, 2075, 2076, 2077, 2078]"
4,ZlHBQtYEdVU,8,TRUE,,Form F 150,FALSE,[],[]
5,6GPsVXETjAE,8,TRUE,,Grammerly,FALSE,[],"[2185, 2186]"
6,34u1sOLrgVo,8,FALSE,,N/A,,[],[]
7,NLypiQlLgyU,8,TRUE,,WIX website creator,FALSE,[],[]
8,gsMl56yGKNk,8,TRUE,,Kia Seltos,FALSE,[],[]
9,Z09h_r4BFUc,8,TRUE,,Purlator ,FALSE,[],[]
10,2uEmsLA7PZA,8,TRUE,,Honda HRV,FALSE,[],[]
11,pmn4PEh4KRU,8,TRUE,,GreyHound,FALSE,[],[]
12,uAT23etgKKM,8,TRUE,,Jeep Wrangler,FALSE,[],[]
13,qBtJYmrO8eE,8,TRUE,,Google Career Certification,FALSE,[],[]
14,wN9B7ujJtOE,8,TRUE,,Adobe Premiere PRo,FALSE,[],[]
15,RduAi0m4krM,8,TRUE,,Adobe Firefly,FALSE,[],[]
16,wTuyYKWj7Mc,8,TRUE,,Royal Bank Canada,FALSE,[],[]
17,ioxv34_t9c0,8,TRUE,,TD,FALSE,[],[]
18,RD6vC2SmHoM,8,TRUE,,Rogers,FALSE,[],[]
19,-G7sQLvc8OI,8,TRUE,,Disney ,FALSE,[],[]
20,olLBXCptgWY,8,TRUE,,Toyota ,FALSE,[],[]
21,pTJ873Fwj5M,8,TRUE,,Alfa Romeo ,FALSE,[],[]
22,XQl11K6YqAI,8,TRUE,,Levi's,FALSE,[],[]
23,XExho5_Yeyg,8,TRUE,,Ford,FALSE,[],[]
24,EyUwmywKioc,8,TRUE,,reading Eggs ,FALSE,[],[]
25,5H1EGrbgHMA,8,TRUE,,Reading Eggs,FALSE,[],[]
26,mJeZJO45_e0,8,TRUE,,Five night at Freddy's,FALSE,[],[]
27,UYwF91MSRfU,8,TRUE,,Cadillac SUV ,FALSE,[],[]
28,mBqES8l37ns,8,TRUE,,Shopify,FALSE,[],[]
29,B3iPPUchVWs,8,TRUE,,Pureflix ,FALSE,[],[]
30,I_wfyNU36gw,8,TRUE,,"Vimeo
",FALSE,[],[]
31,pXMWi3DJ_zk,8,TRUE,,TD,FALSE,[],[]
32,8Ul2z5YFPtQ,8,TRUE,,Michaels,FALSE,[],[]
33,QfT0clJas24,10,TRUE,,Online masterclass,FALSE,[],"[2308, 2309, 2310, 2311, 2312, 2313, 2314]"
34,7QuYQKoRPiI,10,TRUE,,Advantage home health solutions,FALSE,[],"[2260, 2261, 2262]"
35,_OPGg6YoPLo,10,TRUE,,Monster jam,FALSE,[],"[2263, 2264, 2265, 2266, 2267, 2268, 2269]"
36,H3Uk9WAOI08,10,TRUE,,wix.com,FALSE,[],"[2270, 2271, 2272, 2273, 2274, 2275]"
37,1I-Pl5UIdOE,10,TRUE,,Chrysler pacifica,FALSE,[],"[2276, 2277, 2278]"
38,7vm03Eqrzds,10,TRUE,,Tims credit card,FALSE,[],"[2303, 2304, 2305, 2306, 2307]"
39,t1bwnL9V0VA,10,TRUE,,Adaptive Mind game,FALSE,[],"[2315, 2316, 2317, 2318, 2319, 2320, 2321, 2322, 2323, 2324, 2325]"
40,0v3mTXlDDZw,10,TRUE,,Walmart,FALSE,[],"[2326, 2327, 2328]"
41,X3L3ylO0QrY,10,TRUE,,Ford F150,FALSE,[],"[2329, 2330, 2331, 2332]"
42,8U-tFo7KqvY,10,TRUE,,Turo app,FALSE,[],"[2333, 2334, 2335, 2336, 2337]"
43,NFHZHAo50ho,10,TRUE,,Kia,FALSE,[],"[2338, 2339, 2340, 2341, 2342]"
44,bV9TqdBwZFw,10,TRUE,,Shopify,FALSE,[],"[2343, 2344, 2345, 2346, 2347, 2348]"
45,ZUx31dyN37I,10,TRUE,,Michaels,FALSE,[],"[2349, 2350, 2351, 2352, 2353, 2354, 2355]"
46,8f83eIeuGhk,10,TRUE,,Telus online security,FALSE,[],"[2356, 2357, 2358, 2359, 2360, 2361, 2362]"
47,yYVPCQJnJKU,10,TRUE,,SAS viya,FALSE,[],"[2363, 2364, 2365, 2366]"
48,s0lXOH8UxvM,10,TRUE,,Sleep country ,FALSE,[],"[2367, 2368, 2369, 2370, 2371, 2372, 2373]"
49,cX-KJlFSsYQ,10,TRUE,,Apple products,FALSE,[],"[2374, 2375, 2376, 2377, 2378]"
