food_id,ad_id,one_many,name,eval_method,health
919,190,One of Multiple Items,Sweet Cream Frozen Lemonade,health-can,unhealthy
920,190,One of Multiple Items,Clasic Frozen Lemonade ,health-can,unhealthy
921,190,One of Multiple Items,Strawberry Frozen Lemonade ,health-can,unhealthy
922,193,Single Item,Vector High Protein Cereal ,health-can,unhealthy
923,207,Single Item,Original Eggo Waffles,uoft,unhealthy
924,209,Single Item,Smart Water Alkaline ,health-can,healthy
925,210,Single Item,Coca Cola Beverage ,uoft,unhealthy
926,214,Single Item,Super Mario Oreo Cookies ,health-can,unhealthy
927,215,Single Item,All Dressed Crispers ,uoft,unhealthy
928,216,Single Item,Energy Bar - Chocolate Chip ,uoft,unhealthy
929,220,Single Item,Energy Bar - Chocolate Chip ,uoft,unhealthy
930,221,Single Item,Coca Cola Beverage,uoft,unhealthy
935,233,One of Multiple Items,Cracker Barrel Cheese old ,uoft,unhealthy
936,233,One of Multiple Items,Cracker Barrel Slices ,uoft,unhealthy
937,233,One of Multiple Items,cracker barrel tex mex,uoft,unhealthy
931,237,One of Multiple Items,Dad's Cookies - Oatmeal ,uoft,unhealthy
932,237,One of Multiple Items,Digestive Cookies ,uoft,unhealthy
933,237,One of Multiple Items,FudgeeO Cookies - Original ,uoft,unhealthy
934,237,One of Multiple Items,Fruit Cream Cookies ,uoft,unhealthy
938,240,Single Item,Dentyne ice,uoft,healthy
939,244,Single Item,Cadbury Dairy Milk Goodness Bar,health-can,unhealthy
940,281,Single Item,Kellog's Fruit loops,uoft,unhealthy
941,285,One of Multiple Items,Christie Collection Fudgee-O Cookies - Original,uoft,unhealthy
942,285,One of Multiple Items,Christie Collection Dad's cookies,uoft,unhealthy
943,285,One of Multiple Items,Christie Collection - Digestive,health-can,unhealthy
944,285,One of Multiple Items,Christie Collection - Fruit Creme,health-can,unhealthy
945,286,Single Item,Bacon,health-can,unhealthy
946,287,One of Multiple Items,Pringles - Original,uoft,unhealthy
947,287,One of Multiple Items,Pringles - BBQ,uoft,unhealthy
948,287,One of Multiple Items,Pringles - salt and vinegar ,uoft,unhealthy
949,287,One of Multiple Items,Pringles - sour cream,uoft,unhealthy
950,288,One of Multiple Items,Ketchup,limited,unhealthy
951,288,One of Multiple Items,Hotdog,limited,unhealthy
952,289,Single Item,Baby Formula ,limited,healthy
953,290,One of Multiple Items,Cheez it orginal,health-can,unhealthy
954,290,One of Multiple Items,Cheez it crunch,health-can,unhealthy
955,290,One of Multiple Items,Cheez it four cheese,health-can,unhealthy
956,291,Single Item,excel gum mint,uoft,healthy
957,294,Single Item,"Nano Drinkable Yogurt - Strawberry, 1% M.F.",uoft,unhealthy
958,296,Single Item,ritz,uoft,unhealthy
959,297,Single Item,Caramilk,uoft,unhealthy
965,369,One of Multiple Items,hot dog,limited,unhealthy
966,369,One of Multiple Items,Ketchup,limited,unhealthy
960,382,One of Multiple Items,Bacon,uoft,unhealthy
961,382,One of Multiple Items,Thick Sliced Smoked Ham,uoft,unhealthy
962,385,Single Item,Rice Krispies,uoft,unhealthy
963,390,Single Item,Wieners - Original,uoft,unhealthy
964,392,Single Item,Super Mario OREO Chocolate Sandwich Cookies,health-can,unhealthy
970,397,One of Multiple Items,Pringles - Original,uoft,unhealthy
971,397,One of Multiple Items,Pringles - BBQ,uoft,unhealthy
972,397,One of Multiple Items,Pringles - salt and vinegar ,uoft,unhealthy
973,397,One of Multiple Items,Pringles - sour cream,uoft,unhealthy
967,398,One of Multiple Items,Oreo Blizzard DQ,health-can,unhealthy
968,398,One of Multiple Items,Fries,uoft,unhealthy
969,398,One of Multiple Items,Burger,limited,unhealthy
990,440,Single Item,Chips Ahoy! Original,uoft,unhealthy
974,441,Meal Component,pc pizza Diavola,health-can,unhealthy
975,441,Meal Component,pc pizza margarita,health-can,unhealthy
